time,acc,throughput
41.529847082,0.114,843.5305851719711
83.058683164,0.1366,843.5203538428188
124.58752724600001,0.1674,843.5197541008529
166.115373328,0.2154,843.5132302936761
207.65123741000002,0.2381,843.5734626063147
249.179063492,0.257,843.5147426725696
290.710954574,0.2822,843.5211771925464
332.238799656,0.3052,843.5190405177946
373.769671538,0.311,843.5823118545899
415.3037643,0.33,843.5195734724635
456.837620382,0.3444,843.5175075716492
498.370440464,0.3384,843.5194637102816
539.907283546,0.3566,843.5210011272268
581.439308108,0.3604,843.518492548139
622.9741471899999,0.3778,843.5206347609474
664.500001272,0.3877,843.5240456754233
706.034831354,0.398,843.5450963085365
747.5636844359999,0.4085,843.5200065846708
789.0995425179999,0.4147,843.3649130069243
830.6373775999999,0.418,843.5347382001437
